=== CUT-OFF CSV FILES (data ends before expiry day) ===
Total: 4,740
These CSVs have data, but the last bar is days before the actual expiry date.
The vendor needs to provide additional rows from <last_data_date> to <expiry>.

Format: SYMBOL  STRIKE  OPT  EXPIRY  LAST_DATA  DAYS_MISSING  ROWS  FILEPATH
NIFTY    7900  CE   2014-08-28    2014-08-27      1d   12950  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-08-28/NIFTY_7900_CE_28_AUG_14.csv
NIFTY    7900  PE   2014-08-28    2014-08-27      1d    8707  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-08-28/NIFTY_7900_PE_28_AUG_14.csv
NIFTY    8000  PE   2014-08-28    2014-08-27      1d    8488  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-08-28/NIFTY_8000_PE_28_AUG_14.csv
NIFTY    8000  CE   2014-08-28    2014-08-27      1d   13545  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-08-28/NIFTY_8000_CE_28_AUG_14.csv
NIFTY    8100  CE   2014-08-28    2014-08-27      1d   12088  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-08-28/NIFTY_8100_CE_28_AUG_14.csv
NIFTY    8100  PE   2014-08-28    2014-08-27      1d    2888  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-08-28/NIFTY_8100_PE_28_AUG_14.csv
NIFTY    8200  CE   2014-08-28    2014-08-27      1d   10574  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-08-28/NIFTY_8200_CE_28_AUG_14.csv
NIFTY    8200  PE   2014-08-28    2014-08-27      1d    2174  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-08-28/NIFTY_8200_PE_28_AUG_14.csv
NIFTY    7500  CE   2014-10-30    2014-10-29      1d    4555  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-10-30/NIFTY_7500_CE_30_OCT_14.csv
NIFTY    7500  PE   2014-10-30    2014-10-29      1d   12454  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-10-30/NIFTY_7500_PE_30_OCT_14.csv
NIFTY    7600  CE   2014-10-30    2014-10-29      1d    4601  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-10-30/NIFTY_7600_CE_30_OCT_14.csv
NIFTY    7600  PE   2014-10-30    2014-10-29      1d   12761  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-10-30/NIFTY_7600_PE_30_OCT_14.csv
NIFTY    7700  PE   2014-10-30    2014-10-29      1d   13741  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-10-30/NIFTY_7700_PE_30_OCT_14.csv
NIFTY    7700  CE   2014-10-30    2014-10-29      1d    7139  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-10-30/NIFTY_7700_CE_30_OCT_14.csv
NIFTY    7800  CE   2014-10-30    2014-10-29      1d    9061  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-10-30/NIFTY_7800_CE_30_OCT_14.csv
NIFTY    7800  PE   2014-10-30    2014-10-29      1d   14239  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-10-30/NIFTY_7800_PE_30_OCT_14.csv
NIFTY    7900  PE   2014-10-30    2014-10-29      1d   14124  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-10-30/NIFTY_7900_PE_30_OCT_14.csv
NIFTY    7900  CE   2014-10-30    2014-10-29      1d   10338  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-10-30/NIFTY_7900_CE_30_OCT_14.csv
NIFTY    8000  CE   2014-10-30    2014-10-29      1d   13445  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-10-30/NIFTY_8000_CE_30_OCT_14.csv
NIFTY    8000  PE   2014-10-30    2014-10-29      1d   14335  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-10-30/NIFTY_8000_PE_30_OCT_14.csv
NIFTY    8100  PE   2014-10-30    2014-10-29      1d   12675  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-10-30/NIFTY_8100_PE_30_OCT_14.csv
NIFTY    8100  CE   2014-10-30    2014-10-29      1d   13458  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-10-30/NIFTY_8100_CE_30_OCT_14.csv
NIFTY    8200  PE   2014-10-30    2014-10-29      1d    9583  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-10-30/NIFTY_8200_PE_30_OCT_14.csv
NIFTY    8200  CE   2014-10-30    2014-10-29      1d   14024  Backtesting Options Data/nifty 2014-2024 mid/2014/2014-10-30/NIFTY_8200_CE_30_OCT_14.csv
