timestamp,expiry,expiry_day,current_day,open,high,low,close,volume,ltp,pe_strike,ce_strike,pe_cost,ce_cost,total_cost,cost_pct
2026-01-28 12:00:00+05:30,2026-02-03,Tuesday,Wednesday,25320.85,25325.85,25318.9,25325.7,0,25322.825,25200,25450,147.1,175.5,322.6,1.273949490232626
2026-01-28 12:01:00+05:30,2026-02-03,Tuesday,Wednesday,25325.8,25329.25,25320.95,25321.15,0,25324.2875,25200,25450,148.65,174.0,322.65,1.2740733574439163
2026-01-28 12:02:00+05:30,2026-02-03,Tuesday,Wednesday,25321.1,25327.75,25321.1,25326.2,0,25324.0375,25200,25450,147.8,175.5,323.3,1.2766526664636317
2026-01-28 12:03:00+05:30,2026-02-03,Tuesday,Wednesday,25326.6,25328.1,25321.95,25328.1,0,25326.1875,25200,25450,147.1,176.35,323.45,1.2771365607239542
2026-01-28 12:04:00+05:30,2026-02-03,Tuesday,Wednesday,25328.6,25332.25,25327.7,25328.75,0,25329.325,25200,25450,146.7,176.2,322.9,1.2748069678129992
2026-01-28 12:05:00+05:30,2026-02-03,Tuesday,Wednesday,25329.15,25331.1,25327.1,25329.6,0,25329.237500000003,25200,25450,146.15,176.55,322.70000000000005,1.2740217702960859
2026-01-28 12:06:00+05:30,2026-02-03,Tuesday,Wednesday,25329.65,25335.85,25329.65,25335.35,0,25332.625,25200,25450,143.1,180.4,323.5,1.2770093900651827
2026-01-28 12:07:00+05:30,2026-02-03,Tuesday,Wednesday,25335.4,25339.5,25332.5,25334.75,0,25335.5375,25200,25450,143.7,180.1,323.79999999999995,1.278046696266065
2026-01-28 12:08:00+05:30,2026-02-03,Tuesday,Wednesday,25334.7,25336.55,25327.9,25328.15,0,25331.824999999997,25200,25450,146.85,176.0,322.85,1.274483776830134
2026-01-28 12:09:00+05:30,2026-02-03,Tuesday,Wednesday,25328.45,25328.8,25316.45,25317.5,0,25322.8,25200,25450,150.75,171.0,321.75,1.2705940891212664
2026-01-28 12:10:00+05:30,2026-02-03,Tuesday,Wednesday,25317.55,25318.65,25306.95,25311.0,0,25313.5375,25200,25450,151.9,169.7,321.6,1.2704664450790413
2026-01-28 12:11:00+05:30,2026-02-03,Tuesday,Wednesday,25311.9,25319.35,25310.5,25317.1,0,25314.7125,25200,25450,150.45,170.0,320.45,1.2658646626936805
2026-01-28 12:12:00+05:30,2026-02-03,Tuesday,Wednesday,25317.3,25319.05,25310.2,25314.55,0,25315.275,25200,25450,151.85,169.2,321.04999999999995,1.268206645987452
2026-01-28 12:13:00+05:30,2026-02-03,Tuesday,Wednesday,25314.3,25314.95,25309.95,25311.8,0,25312.75,25200,25450,152.6,167.55,320.15,1.2647776318258583
2026-01-28 12:14:00+05:30,2026-02-03,Tuesday,Wednesday,25311.55,25314.7,25310.2,25313.8,0,25312.5625,25200,25450,152.3,167.6,319.9,1.2637993486435835
2026-01-28 12:15:00+05:30,2026-02-03,Tuesday,Wednesday,25313.8,25318.05,25310.6,25312.55,0,25313.75,25200,25450,152.35,167.5,319.85,1.263542541109081
2026-01-28 12:16:00+05:30,2026-02-03,Tuesday,Wednesday,25313.0,25314.5,25311.35,25314.25,0,25313.275,25200,25450,151.8,167.9,319.70000000000005,1.262973676855326
2026-01-28 12:17:00+05:30,2026-02-03,Tuesday,Wednesday,25314.7,25316.65,25308.1,25309.05,0,25312.125000000004,25200,25450,154.25,164.25,318.5,1.2582902462752532
2026-01-28 12:18:00+05:30,2026-02-03,Tuesday,Wednesday,25309.0,25310.0,25304.25,25305.15,0,25307.1,25200,25450,157.0,161.25,318.25,1.257552228426015
2026-01-28 12:19:00+05:30,2026-02-03,Tuesday,Wednesday,25305.1,25306.8,25299.95,25302.0,0,25303.462499999998,25200,25450,158.2,160.3,318.5,1.2587210149599093
2026-01-28 12:20:00+05:30,2026-02-03,Tuesday,Wednesday,25302.5,25304.3,25300.2,25303.0,0,25302.5,25200,25450,157.7,161.1,318.79999999999995,1.2599545499456573
2026-01-28 12:21:00+05:30,2026-02-03,Tuesday,Wednesday,25302.75,25306.9,25302.0,25306.4,0,25304.512499999997,25200,25450,155.9,161.6,317.5,1.25471692054925
2026-01-28 12:22:00+05:30,2026-02-03,Tuesday,Wednesday,25306.4,25309.95,25295.8,25296.05,0,25302.050000000003,25200,25450,161.0,155.7,316.7,1.2516772356390093
2026-01-28 12:23:00+05:30,2026-02-03,Tuesday,Wednesday,25295.95,25295.95,25291.45,25293.4,0,25294.1875,25150,25400,144.35,178.65,323.0,1.2769732176611723
2026-01-28 12:24:00+05:30,2026-02-03,Tuesday,Wednesday,25293.15,25294.65,25286.05,25286.1,0,25289.987500000003,25150,25400,147.95,174.8,322.75,1.2761967557318878
2026-01-28 12:25:00+05:30,2026-02-03,Tuesday,Wednesday,25286.6,25286.75,25277.15,25279.05,0,25282.3875,25150,25400,149.85,173.15,323.0,1.2775692169103887
