segment,name,exchange,instrument_type,instrument_key,exchange_token,trading_symbol
NSE_INDEX,Nifty Metal,NSE,INDEX,NSE_INDEX|Nifty Metal,26030.0,NIFTY METAL
BSE_INDEX,BSE IPO,BSE,INDEX,BSE_INDEX|BSEIPO,23.0,BSEIPO
NSE_INDEX,Nifty500 EW,NSE,INDEX,NSE_INDEX|Nifty500 EW,26113.0,NIFTY500 EW
NSE_INDEX,Nifty50 PR 2x Lev,NSE,INDEX,NSE_INDEX|Nifty50 PR 2x Lev,26002.0,NIFTY50 PR 2X LEV
BSE_INDEX,BSE COMMODITIES,BSE,INDEX,BSE_INDEX|COMDTY,37.0,COMDTY
BSE_INDEX,BSE LOW VOLATILITY,BSE,INDEX,BSE_INDEX|BSELVI,61.0,BSELVI
BSE_INDEX,BSE MOMENTUM INDEX,BSE,INDEX,BSE_INDEX|BSEMOI,62.0,BSEMOI
NSE_INDEX,NIFTY MIDCAP 100,NSE,INDEX,NSE_INDEX|NIFTY MIDCAP 100,26011.0,NIFTY MIDCAP 100
BSE_INDEX,BSE INDIA SECT LEADER,BSE,INDEX,BSE_INDEX|INSLDR,82.0,INSLDR
NSE_INDEX,NIFTY MIDCAP 150,NSE,INDEX,NSE_INDEX|NIFTY MIDCAP 150,26060.0,NIFTY MIDCAP 150
NSE_INDEX,Nifty 100,NSE,INDEX,NSE_INDEX|Nifty 100,26012.0,NIFTY 100
NSE_INDEX,NIFTY100 LowVol30,NSE,INDEX,NSE_INDEX|NIFTY100 LowVol30,26058.0,NIFTY100 LOWVOL30
NSE_INDEX,Nifty 200,NSE,INDEX,NSE_INDEX|Nifty 200,26033.0,NIFTY 200
NSE_INDEX,Nifty Mid Liq 15,NSE,INDEX,NSE_INDEX|Nifty Mid Liq 15,26046.0,NIFTY MID LIQ 15
BSE_INDEX,BSE SME IPO,BSE,INDEX,BSE_INDEX|SMEIPO,27.0,SMEIPO
NSE_INDEX,Nifty 500,NSE,INDEX,NSE_INDEX|Nifty 500,26004.0,NIFTY 500
BSE_INDEX,BSE 100 LARGECAP TMC,BSE,INDEX,BSE_INDEX|LCTMCI,65.0,LCTMCI
